Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,262.489990234375,259.44000244140625,260.1499938964844,261.2099914550781,0,261.2099914550781
2017-01-04,264.95001220703125,261.2099914550781,261.2099914550781,264.8500061035156,0,264.8500061035156
2017-01-05,264.7799987792969,262.760009765625,264.7799987792969,263.2799987792969,0,263.2799987792969
2017-01-06,264.07000732421875,262.4800109863281,263.2799987792969,262.67999267578125,0,262.67999267578125
2017-01-09,262.67999267578125,259.4800109863281,262.67999267578125,259.510009765625,0,259.510009765625
2017-01-10,260.8999938964844,258.95001220703125,259.510009765625,260.0799865722656,0,260.0799865722656
2017-01-11,260.0799865722656,257.2699890136719,260.0799865722656,258.0199890136719,0,258.0199890136719
2017-01-12,258.0199890136719,254.5399932861328,258.0199890136719,255.6199951171875,0,255.6199951171875
2017-01-13,258.5,255.6199951171875,255.6199951171875,257.3500061035156,0,257.3500061035156
2017-01-17,259.2799987792969,256.9700012207031,257.3500061035156,257.989990234375,0,257.989990234375
2017-01-18,259.4200134277344,257.6300048828125,257.989990234375,258.6000061035156,0,258.6000061035156
2017-01-19,259.6000061035156,257.3999938964844,258.6000061035156,257.69000244140625,0,257.69000244140625
2017-01-20,260.489990234375,257.69000244140625,257.69000244140625,260.1499938964844,0,260.1499938964844
2017-01-23,261.5899963378906,259.7900085449219,260.1499938964844,260.9599914550781,0,260.9599914550781
2017-01-24,265.05999755859375,260.9599914550781,260.9599914550781,264.82000732421875,0,264.82000732421875
2017-01-25,267.0799865722656,264.82000732421875,264.82000732421875,266.760009765625,0,266.760009765625
2017-01-26,267.4100036621094,263.29998779296875,266.760009765625,263.42999267578125,0,263.42999267578125
2017-01-27,265.1499938964844,263.42999267578125,263.42999267578125,264.67999267578125,0,264.67999267578125
2017-01-30,264.67999267578125,260.9700012207031,264.67999267578125,261.25,0,261.25
2017-01-31,261.25,259.8500061035156,261.25,260.8599853515625,0,260.8599853515625
2017-02-01,262.7799987792969,260.79998779296875,260.8599853515625,260.9599914550781,0,260.9599914550781
2017-02-02,264.07000732421875,260.9599914550781,260.9599914550781,263.19000244140625,0,263.19000244140625
2017-02-03,266.1400146484375,263.19000244140625,263.19000244140625,265.4700012207031,0,265.4700012207031
2017-02-06,265.510009765625,262.8900146484375,265.0799865722656,263.3299865722656,0,263.3299865722656
2017-02-07,264.5400085449219,263.04998779296875,263.7799987792969,263.7799987792969,0,263.7799987792969
2017-02-08,266.2200012207031,263.2900085449219,263.42999267578125,265.67999267578125,0,265.67999267578125
2017-02-09,268.07000732421875,265.42999267578125,265.6099853515625,267.8299865722656,0,267.8299865722656
2017-02-10,268.32000732421875,267.1400146484375,268.2799987792969,267.5799865722656,0,267.5799865722656
2017-02-13,268.9100036621094,267.8299865722656,268.8900146484375,268.17999267578125,0,268.17999267578125
2017-02-14,268.3399963378906,266.760009765625,268.17999267578125,267.1199951171875,0,267.1199951171875
2017-02-15,271.6400146484375,265.9200134277344,265.9800109863281,270.8800048828125,0,270.8800048828125
2017-02-16,270.010009765625,266.6600036621094,270.0,267.32000732421875,0,267.32000732421875
2017-02-17,267.1099853515625,265.6199951171875,266.95001220703125,267.1000061035156,0,267.1000061035156
2017-02-21,267.75,266.0,267.44000244140625,267.45001220703125,0,267.45001220703125
2017-02-22,268.1600036621094,266.8599853515625,267.1499938964844,267.6300048828125,0,267.6300048828125
2017-02-23,268.67999267578125,266.04998779296875,268.07000732421875,266.4100036621094,0,266.4100036621094
2017-02-24,266.8999938964844,265.1300048828125,265.6099853515625,266.8399963378906,0,266.8399963378906
2017-02-27,267.989990234375,265.6400146484375,266.1499938964844,267.9800109863281,0,267.9800109863281
2017-02-28,268.6499938964844,267.1400146484375,267.6400146484375,267.57000732421875,0,267.57000732421875
2017-03-01,273.6099853515625,270.510009765625,270.70001220703125,273.45001220703125,0,273.45001220703125
2017-03-02,272.6099853515625,270.4200134277344,272.54998779296875,271.82000732421875,0,271.82000732421875
2017-03-03,274.239990234375,270.8399963378906,271.07000732421875,274.0299987792969,0,274.0299987792969
2017-03-06,273.0899963378906,271.0899963378906,272.9100036621094,271.5199890136719,0,271.5199890136719
