Date;Value
02.01.2017;1145.9
03.01.2017;1151
04.01.2017;1164.25
05.01.2017;1176.7
06.01.2017;1175.85
09.01.2017;1178.5
10.01.2017;1189.5
11.01.2017;1178.55
12.01.2017;1205.05
13.01.2017;1190.35
16.01.2017;1203
17.01.2017;1216.05
18.01.2017;1214.75
19.01.2017;1196.05
20.01.2017;1200.55
23.01.2017;1212.85
24.01.2017;1216.8
25.01.2017;1195
26.01.2017;1189.7
27.01.2017;1184.85
30.01.2017;1192.8
31.01.2017;1212.8
01.02.2017;1203.65
02.02.2017;1221.95
03.02.2017;1215.2
06.02.2017;1226.75
07.02.2017;1231
08.02.2017;1242.1
09.02.2017;1236.8
10.02.2017;1228.3
13.02.2017;1222.25
14.02.2017;1230.75
15.02.2017;1224.4
16.02.2017;1240.55
17.02.2017;1241.95
20.02.2017;1237.3
21.02.2017;1233.2
22.02.2017;1236.65
23.02.2017;1247.9
24.02.2017;1253.65
27.02.2017;1257.2
28.02.2017;1255.6
01.03.2017;1240.4
02.03.2017;1238.1
03.03.2017;1226.5
06.03.2017;1230.95
07.03.2017;1216.65
08.03.2017;1209.2
09.03.2017;1206.55
10.03.2017;1202.65
13.03.2017;1204.2
14.03.2017;1204.6
15.03.2017;1198.8
16.03.2017;1229.35
17.03.2017;1229.6
20.03.2017;1232.4
21.03.2017;1241.6
22.03.2017;1249.05
23.03.2017;1247.5
24.03.2017;1247.5
27.03.2017;1257.55
28.03.2017;1257.25
29.03.2017;1251.1
30.03.2017;1248.8
31.03.2017;1244.85
03.04.2017;1247.25
04.04.2017;1257.65
05.04.2017;1245.8
06.04.2017;1252.5
07.04.2017;1266.45
10.04.2017;1250.05
11.04.2017;1252.9
12.04.2017;1274.3
13.04.2017;1284.15
14.04.2017;1284.15
17.04.2017;1284.15
18.04.2017;1278.95
19.04.2017;1279.05
20.04.2017;1282.1
21.04.2017;1281.85
24.04.2017;1269.4
25.04.2017;1267.8
26.04.2017;1261.85
27.04.2017;1262.8
28.04.2017;1266.45
01.05.2017;1266.45
02.05.2017;1255.45
03.05.2017;1250.3
04.05.2017;1228.45
05.05.2017;1228.05
08.05.2017;1229.8
09.05.2017;1220.4
10.05.2017;1222.95
11.05.2017;1223.15
12.05.2017;1231.25
15.05.2017;1233.3
16.05.2017;1234.2
17.05.2017;1257.4
18.05.2017;1255.9
19.05.2017;1252
22.05.2017;1258.85
23.05.2017;1260.2
24.05.2017;1252.55
25.05.2017;1256.95
26.05.2017;1265.05
29.05.2017;1265.05
30.05.2017;1262.7
31.05.2017;1266.2
01.06.2017;1264.85
02.06.2017;1274.95
05.06.2017;1279.95
06.06.2017;1293.5
07.06.2017;1291
08.06.2017;1273.1
09.06.2017;1266.55
12.06.2017;1266.4
13.06.2017;1262
14.06.2017;1275.5
15.06.2017;1254.55
16.06.2017;1255.4
19.06.2017;1248.15
20.06.2017;1242.2
21.06.2017;1242.5
22.06.2017;1250.8
23.06.2017;1255.7
26.06.2017;1245.25
27.06.2017;1249.55
28.06.2017;1248
29.06.2017;1243.5
30.06.2017;1242.25
03.07.2017;1229.25
04.07.2017;1223.75
05.07.2017;1220.3
06.07.2017;1224.9
07.07.2017;1215.65
10.07.2017;1211.9
11.07.2017;1211.05
12.07.2017;1218.8
13.07.2017;1218.9
14.07.2017;1230.3
17.07.2017;1234.1
18.07.2017;1240.75
19.07.2017;1242.15
20.07.2017;1238.7
21.07.2017;1248.55
24.07.2017;1255.55
25.07.2017;1254.4
