Date;Value
03.01.2017;1.0416
04.01.2017;1.0476
05.01.2017;1.0598
06.01.2017;1.056
09.01.2017;1.0576
10.01.2017;1.0572
11.01.2017;1.0501
12.01.2017;1.0666
13.01.2017;1.0625
17.01.2017;1.0695
18.01.2017;1.0682
19.01.2017;1.063
23.01.2017;1.074
24.01.2017;1.0749
25.01.2017;1.0743
26.01.2017;1.067
27.01.2017;1.069
30.01.2017;1.0681
31.01.2017;1.0794
01.02.2017;1.0758
02.02.2017;1.0802
03.02.2017;1.0792
06.02.2017;1.0731
07.02.2017;1.069
08.02.2017;1.0708
09.02.2017;1.0658
10.02.2017;1.065
13.02.2017;1.0603
14.02.2017;1.0577
15.02.2017;1.0597
16.02.2017;1.066
17.02.2017;1.0614
21.02.2017;1.0551
22.02.2017;1.0555
23.02.2017;1.0586
24.02.2017;1.058
27.02.2017;1.0624
28.02.2017;1.0618
01.03.2017;1.0564
02.03.2017;1.0514
03.03.2017;1.0552
06.03.2017;1.0586
07.03.2017;1.0582
08.03.2017;1.0547
09.03.2017;1.0586
10.03.2017;1.0667
13.03.2017;1.067
14.03.2017;1.0645
15.03.2017;1.063
16.03.2017;1.0738
17.03.2017;1.0742
20.03.2017;1.0754
21.03.2017;1.081
22.03.2017;1.08
23.03.2017;1.0787
24.03.2017;1.0806
27.03.2017;1.0882
28.03.2017;1.0852
29.03.2017;1.0756
30.03.2017;1.0726
31.03.2017;1.0698
03.04.2017;1.0655
04.04.2017;1.0664
05.04.2017;1.0661
06.04.2017;1.0651
07.04.2017;1.0616
10.04.2017;1.0606
11.04.2017;1.0614
12.04.2017;1.0611
13.04.2017;1.063
14.04.2017;1.0625
17.04.2017;1.066
18.04.2017;1.0706
19.04.2017;1.0707
20.04.2017;1.0758
21.04.2017;1.0694
24.04.2017;1.0846
25.04.2017;1.0941
26.04.2017;1.0872
27.04.2017;1.0864
28.04.2017;1.0895
01.05.2017;1.0912
02.05.2017;1.091
03.05.2017;1.092
04.05.2017;1.0967
05.05.2017;1.0996
08.05.2017;1.0928
09.05.2017;1.0875
10.05.2017;1.0873
11.05.2017;1.0869
12.05.2017;1.0926
15.05.2017;1.0979
16.05.2017;1.1072
17.05.2017;1.1134
18.05.2017;1.113
19.05.2017;1.119
22.05.2017;1.1236
23.05.2017;1.1198
24.05.2017;1.1175
25.05.2017;1.1218
26.05.2017;1.117
30.05.2017;1.1183
31.05.2017;1.1236
01.06.2017;1.1214
02.06.2017;1.127
05.06.2017;1.125
06.06.2017;1.1266
07.06.2017;1.1236
08.06.2017;1.1217
09.06.2017;1.119
12.06.2017;1.1204
13.06.2017;1.1194
14.06.2017;1.1277
15.06.2017;1.1152
16.06.2017;1.1194
19.06.2017;1.116
20.06.2017;1.1124
21.06.2017;1.1143
22.06.2017;1.1148
23.06.2017;1.1196
26.06.2017;1.1196
27.06.2017;1.13
28.06.2017;1.1364
29.06.2017;1.142
30.06.2017;1.1411
03.07.2017;1.1367
05.07.2017;1.1336
06.07.2017;1.1409
07.07.2017;1.1396
10.07.2017;1.1396
11.07.2017;1.143
12.07.2017;1.1411
13.07.2017;1.1385
14.07.2017;1.1452
17.07.2017;1.147
18.07.2017;1.1578
19.07.2017;1.1518
20.07.2017;1.1634
21.07.2017;1.1655
24.07.2017;1.1642
25.07.2017;1.1656
26.07.2017;1.1632
27.07.2017;1.1656
28.07.2017;1.1754
31.07.2017;1.1826
01.08.2017;1.1799
02.08.2017;1.1861
03.08.2017;1.188
04.08.2017;1.1754
07.08.2017;1.1788
08.08.2017;1.1724
09.08.2017;1.1748
10.08.2017;1.1751
11.08.2017;1.1811
14.08.2017;1.1786
15.08.2017;1.1736
16.08.2017;1.1703
17.08.2017;1.1736
18.08.2017;1.1748
21.08.2017;1.1814
22.08.2017;1.1762
23.08.2017;1.1802
24.08.2017;1.1801
25.08.2017;1.1874
28.08.2017;1.1973
29.08.2017;1.2025
30.08.2017;1.1927
31.08.2017;1.1894
01.09.2017;1.1878
05.09.2017;1.1911
06.09.2017;1.1943
07.09.2017;1.2028
08.09.2017;1.2041
11.09.2017;1.1964
12.09.2017;1.1968
13.09.2017;1.1898
14.09.2017;1.1886
15.09.2017;1.1959
18.09.2017;1.1938
19.09.2017;1.198
20.09.2017;1.1998
21.09.2017;1.1946
22.09.2017;1.1969
25.09.2017;1.1852
26.09.2017;1.1772
27.09.2017;1.1747
28.09.2017;1.1776
29.09.2017;1.1813
02.10.2017;1.1745
03.10.2017;1.1759
04.10.2017;1.176
