Date;Value
05.10.2017;1.1706
06.10.2017;1.1732
10.10.2017;1.1804
11.10.2017;1.1847
12.10.2017;1.184
13.10.2017;1.1837
16.10.2017;1.181
17.10.2017;1.1754
18.10.2017;1.1775
19.10.2017;1.1842
20.10.2017;1.177
23.10.2017;1.1762
24.10.2017;1.1766
25.10.2017;1.1802
26.10.2017;1.17
27.10.2017;1.158
30.10.2017;1.1626
31.10.2017;1.1648
01.11.2017;1.1618
02.11.2017;1.1672
03.11.2017;1.1616
06.11.2017;1.16
07.11.2017;1.1577
08.11.2017;1.1591
09.11.2017;1.1648
13.11.2017;1.1656
14.11.2017;1.1764
15.11.2017;1.1794
16.11.2017;1.1772
17.11.2017;1.1799
20.11.2017;1.1741
21.11.2017;1.1741
22.11.2017;1.1789
24.11.2017;1.1936
27.11.2017;1.1911
28.11.2017;1.1878
29.11.2017;1.1858
30.11.2017;1.1898
01.12.2017;1.191
04.12.2017;1.1848
05.12.2017;1.182
06.12.2017;1.1788
07.12.2017;1.179
08.12.2017;1.1761
11.12.2017;1.1802
12.12.2017;1.1725
13.12.2017;1.1762
14.12.2017;1.1778
15.12.2017;1.1778
18.12.2017;1.1804
19.12.2017;1.1822
20.12.2017;1.1881
21.12.2017;1.1872
22.12.2017;1.1839
26.12.2017;1.1867
27.12.2017;1.1902
28.12.2017;1.1952
29.12.2017;1.2022
02.01.2018;1.205
03.01.2018;1.203
04.01.2018;1.2064
05.01.2018;1.2039
08.01.2018;1.1973
09.01.2018;1.1922
10.01.2018;1.1958
11.01.2018;1.2035
12.01.2018;1.213
16.01.2018;1.2244
17.01.2018;1.2229
18.01.2018;1.2238
19.01.2018;1.2238
22.01.2018;1.223
23.01.2018;1.2277
24.01.2018;1.239
25.01.2018;1.2488
26.01.2018;1.2422
29.01.2018;1.2352
30.01.2018;1.239
31.01.2018;1.2428
01.02.2018;1.2482
02.02.2018;1.2446
05.02.2018;1.2418
06.02.2018;1.2381
07.02.2018;1.2281
08.02.2018;1.2238
09.02.2018;1.2226
12.02.2018;1.2267
13.02.2018;1.2363
14.02.2018;1.2396
15.02.2018;1.2482
16.02.2018;1.2442
20.02.2018;1.2348
21.02.2018;1.2314
22.02.2018;1.2326
23.02.2018;1.2298
26.02.2018;1.2296
27.02.2018;1.2239
28.02.2018;1.2211
01.03.2018;1.2216
02.03.2018;1.2314
05.03.2018;1.233
06.03.2018;1.2415
07.03.2018;1.2397
08.03.2018;1.2314
09.03.2018;1.2326
12.03.2018;1.2318
13.03.2018;1.2398
14.03.2018;1.2362
15.03.2018;1.2321
16.03.2018;1.228
19.03.2018;1.2329
20.03.2018;1.2271
21.03.2018;1.2268
22.03.2018;1.231
23.03.2018;1.236
26.03.2018;1.244
27.03.2018;1.241
28.03.2018;1.2351
29.03.2018;1.2297
30.03.2018;1.232
02.04.2018;1.2288
03.04.2018;1.2261
04.04.2018;1.2292
05.04.2018;1.223
06.04.2018;1.2274
09.04.2018;1.232
10.04.2018;1.2338
11.04.2018;1.2384
12.04.2018;1.232
13.04.2018;1.2322
16.04.2018;1.2373
17.04.2018;1.2345
18.04.2018;1.238
19.04.2018;1.2336
20.04.2018;1.2282
23.04.2018;1.2216
24.04.2018;1.2226
25.04.2018;1.2178
26.04.2018;1.2113
27.04.2018;1.2108
30.04.2018;1.2074
01.05.2018;1.2
02.05.2018;1.1968
03.05.2018;1.197
04.05.2018;1.1946
07.05.2018;1.1927
08.05.2018;1.1863
09.05.2018;1.1852
10.05.2018;1.1896
11.05.2018;1.1951
14.05.2018;1.1976
15.05.2018;1.1864
16.05.2018;1.1788
17.05.2018;1.1798
18.05.2018;1.1775
21.05.2018;1.1768
22.05.2018;1.1783
23.05.2018;1.1693
24.05.2018;1.1729
25.05.2018;1.1666
29.05.2018;1.1551
30.05.2018;1.1664
31.05.2018;1.167
01.06.2018;1.1679
04.06.2018;1.1696
05.06.2018;1.1672
06.06.2018;1.1778
07.06.2018;1.1815
08.06.2018;1.1773
11.06.2018;1.1802
12.06.2018;1.1792
13.06.2018;1.1784
14.06.2018;1.1634
15.06.2018;1.1616
18.06.2018;1.1606
19.06.2018;1.1577
20.06.2018;1.1592
21.06.2018;1.16
22.06.2018;1.163
25.06.2018;1.1694
26.06.2018;1.1675
27.06.2018;1.1588
28.06.2018;1.1582
29.06.2018;1.1677
02.07.2018;1.1604
03.07.2018;1.1653
05.07.2018;1.1697
06.07.2018;1.1738
09.07.2018;1.1744
10.07.2018;1.1728
11.07.2018;1.1722
12.07.2018;1.1692
13.07.2018;1.1667
16.07.2018;1.171
17.07.2018;1.1664
18.07.2018;1.1645
19.07.2018;1.1604
20.07.2018;1.1708
23.07.2018;1.1702
24.07.2018;1.1684
25.07.2018;1.1677
26.07.2018;1.1654
27.07.2018;1.166
30.07.2018;1.1718
31.07.2018;1.1706
01.08.2018;1.1666
02.08.2018;1.1612
03.08.2018;1.1597
06.08.2018;1.1564
07.08.2018;1.1597
08.08.2018;1.1598
09.08.2018;1.1566
10.08.2018;1.1399
13.08.2018;1.1396
14.08.2018;1.1351
15.08.2018;1.1332
16.08.2018;1.1388
17.08.2018;1.141
20.08.2018;1.1438
21.08.2018;1.1534
22.08.2018;1.1595
23.08.2018;1.1567
24.08.2018;1.1625
27.08.2018;1.1676
28.08.2018;1.172
29.08.2018;1.1699
30.08.2018;1.1646
31.08.2018;1.1596
04.09.2018;1.1566
05.09.2018;1.162
06.09.2018;1.1624
07.09.2018;1.1572
10.09.2018;1.1604
11.09.2018;1.1591
12.09.2018;1.1626
13.09.2018;1.1672
14.09.2018;1.1656
17.09.2018;1.1687
18.09.2018;1.1693
19.09.2018;1.1685
20.09.2018;1.1744
21.09.2018;1.1739
24.09.2018;1.1773
25.09.2018;1.177
26.09.2018;1.1758
27.09.2018;1.167
28.09.2018;1.1622
01.10.2018;1.1567
02.10.2018;1.156
03.10.2018;1.1525
04.10.2018;1.1508
05.10.2018;1.1502
09.10.2018;1.1482
10.10.2018;1.1541
11.10.2018;1.1565
12.10.2018;1.1559
15.10.2018;1.1594
16.10.2018;1.1593
17.10.2018;1.154
18.10.2018;1.1494
19.10.2018;1.1513
22.10.2018;1.1467
23.10.2018;1.148
24.10.2018;1.1389
25.10.2018;1.1374
26.10.2018;1.1388
29.10.2018;1.139
30.10.2018;1.1364
31.10.2018;1.1332
01.11.2018;1.1396
02.11.2018;1.1378
05.11.2018;1.1394
06.11.2018;1.1412
07.11.2018;1.1459
08.11.2018;1.1416
09.11.2018;1.1325
13.11.2018;1.1288
14.11.2018;1.1312
15.11.2018;1.1324
16.11.2018;1.1402
19.11.2018;1.1448
20.11.2018;1.1391
21.11.2018;1.1393
23.11.2018;1.1332
26.11.2018;1.1336
27.11.2018;1.1281
28.11.2018;1.1286
29.11.2018;1.1382
30.11.2018;1.1323
03.12.2018;1.1356
04.12.2018;1.1345
06.12.2018;1.1374
07.12.2018;1.139
10.12.2018;1.1368
11.12.2018;1.1314
12.12.2018;1.1362
13.12.2018;1.1358
14.12.2018;1.13
17.12.2018;1.1339
18.12.2018;1.1364
19.12.2018;1.1422
20.12.2018;1.1432
21.12.2018;1.1402
26.12.2018;1.1408
27.12.2018;1.1412
28.12.2018;1.1445
31.12.2018;1.1456
02.01.2019;1.1357
03.01.2019;1.1399
04.01.2019;1.141
07.01.2019;1.1468
08.01.2019;1.1444
09.01.2019;1.1524
10.01.2019;1.1517
11.01.2019;1.1479
15.01.2019;1.1392
16.01.2019;1.1408
17.01.2019;1.1386
18.01.2019;1.1362
22.01.2019;1.1359
23.01.2019;1.139
24.01.2019;1.1322
25.01.2019;1.1407
28.01.2019;1.1438
29.01.2019;1.1424
30.01.2019;1.1418
31.01.2019;1.1454
01.02.2019;1.1474
04.02.2019;1.1438
05.02.2019;1.1406
06.02.2019;1.138
07.02.2019;1.1357
08.02.2019;1.1326
11.02.2019;1.1277
12.02.2019;1.1316
13.02.2019;1.1288
14.02.2019;1.1284
15.02.2019;1.1268
19.02.2019;1.1328
21.02.2019;1.1338
22.02.2019;1.1342
25.02.2019;1.1345
26.02.2019;1.1374
27.02.2019;1.137
28.02.2019;1.1379
01.03.2019;1.1376
04.03.2019;1.1328
05.03.2019;1.13
06.03.2019;1.132
07.03.2019;1.1214
08.03.2019;1.1243
11.03.2019;1.1226
12.03.2019;1.1276
13.03.2019;1.131
14.03.2019;1.1304
15.03.2019;1.1326
18.03.2019;1.1337
19.03.2019;1.1346
20.03.2019;1.1352
21.03.2019;1.1361
22.03.2019;1.1282
25.03.2019;1.1324
26.03.2019;1.128
27.03.2019;1.125
28.03.2019;1.1236
29.03.2019;1.1228
01.04.2019;1.121
02.04.2019;1.1186
03.04.2019;1.1242
04.04.2019;1.1216
05.04.2019;1.1217
08.04.2019;1.1262
09.04.2019;1.1278
10.04.2019;1.1266
11.04.2019;1.1262
12.04.2019;1.1304
15.04.2019;1.1304
16.04.2019;1.1293
17.04.2019;1.1297
18.04.2019;1.1241
19.04.2019;1.1246
22.04.2019;1.1258
23.04.2019;1.1213
24.04.2019;1.1192
25.04.2019;1.114
26.04.2019;1.1154
29.04.2019;1.1166
30.04.2019;1.1201
01.05.2019;1.1246
02.05.2019;1.1184
03.05.2019;1.1186
06.05.2019;1.1197
07.05.2019;1.1178
08.05.2019;1.1206
09.05.2019;1.1228
10.05.2019;1.1241
